data_size,run,threads,implementation,schedule,time_seconds,checksum
10000000,1,4,parallel,dynamic,0.489174330,333433293323337.69
10000000,1,4,parallel,guided,0.006239866,333433293323337.69
10000000,2,4,parallel,static,0.008775392,333433293323337.69
10000000,2,4,parallel,dynamic,0.506730020,333433293323337.69
10000000,2,4,parallel,guided,0.007252321,333433293323337.69
10000000,3,4,parallel,static,0.007523844,333433293323337.69
10000000,3,4,parallel,dynamic,0.535127420,333433293323337.69
10000000,3,4,parallel,guided,0.006002147,333433293323337.69
10000000,4,4,parallel,static,0.008277192,333433293323337.69
10000000,4,4,parallel,dynamic,0.519552704,333433293323337.69
10000000,4,4,parallel,guided,0.005471627,333433293323337.69
10000000,5,4,parallel,static,0.006125651,333433293323337.69
10000000,5,4,parallel,dynamic,0.538008108,333433293323337.69
10000000,5,4,parallel,guided,0.007164904,333433293323337.69
10000000,6,4,parallel,static,0.005763120,333433293323337.69
10000000,6,4,parallel,dynamic,0.515757355,333433293323337.69
10000000,6,4,parallel,guided,0.005342129,333433293323337.69
10000000,7,4,parallel,static,0.005427047,333433293323337.69
10000000,7,4,parallel,dynamic,0.513283649,333433293323337.69
10000000,7,4,parallel,guided,0.007161022,333433293323337.69
10000000,1,8,parallel,static,0.005740894,333433293323337.69
10000000,1,8,parallel,dynamic,0.452039854,333433293323337.69
10000000,1,8,parallel,guided,0.004733178,333433293323337.69
10000000,2,8,parallel,static,0.005482078,333433293323337.69
10000000,2,8,parallel,dynamic,0.480922890,333433293323337.69
10000000,2,8,parallel,guided,0.005330261,333433293323337.69
10000000,3,8,parallel,static,0.005311729,333433293323337.69
10000000,3,8,parallel,dynamic,0.535853597,333433293323337.69
10000000,3,8,parallel,guided,0.005275127,333433293323337.69
10000000,4,8,parallel,static,0.005525471,333433293323337.69
10000000,4,8,parallel,dynamic,0.424023807,333433293323337.69
10000000,4,8,parallel,guided,0.005045892,333433293323337.69
10000000,5,8,parallel,static,0.004954432,333433293323337.69
10000000,5,8,parallel,dynamic,0.471555861,333433293323337.69
10000000,5,8,parallel,guided,0.004851204,333433293323337.69
10000000,6,8,parallel,static,0.005183916,333433293323337.69
10000000,6,8,parallel,dynamic,0.484858208,333433293323337.69
10000000,6,8,parallel,guided,0.005709357,333433293323337.69
10000000,7,8,parallel,static,0.005495552,333433293323337.69
10000000,7,8,parallel,dynamic,0.458923276,333433293323337.69
10000000,7,8,parallel,guided,0.004855610,333433293323337.69
